index,Xi,Xj,model
0,Today morning I was,"feeling a bit under the weather, so I decided to rest at home.",gpt-4-32k
1,He left the party and,decided to walk home alone in the moonlight.,gpt-4-32k
2,"After the meeting ended, I",went back to my desk and started to plan for the next project.,gpt-4-32k
3,She looked at the clock and,realized she was late for her meeting.,gpt-4-32k
4,"Without a second thought, he",jumped into the raging river to save the drowning puppy.,gpt-4-32k
5,"Walking down the street, they",noticed a small kitten shivering in the cold.,gpt-4-32k
6,I was about to say something when,she abruptly interrupted me.,gpt-4-32k
7,"Before the movie started, we",decided to grab some popcorn and drinks.,gpt-4-32k
8,"As soon as the bell rang, they",rushed out of the classroom to enjoy their lunch break.,gpt-4-32k
9,"The moment she opened the door, she",saw a beautiful bouquet of her favorite flowers on the porch.,gpt-4-32k
10,"With a heavy heart, he",decided to leave his childhood home behind.,gpt-4-32k
11,They didn't know what to do after,the car broke down in the middle of nowhere.,gpt-4-32k
12,"I was trying to focus, but",the distracting noise from the construction site was too loud.,gpt-4-32k
13,He glanced at the report and,realized there were several critical errors.,gpt-4-32k
14,She smiled softly before she,whispered a sweet goodbye.,gpt-4-32k
15,They were about to leave when,"suddenly the power went out, plunging the entire house into darkness.",gpt-4-32k
16,I had no idea what to say when,she told me she was moving away.,gpt-4-32k
17,"Just before the storm hit, we",rushed to secure the windows and doors.,gpt-4-32k
18,"After she finished speaking, I",realized the depth of her wisdom and experience.,gpt-4-32k
19,He took a deep breath and,,gpt-4-32k
20,The dog barked loudly as,it spotted a stranger approaching the house.,gpt-4-32k
21,I couldn't believe my eyes when,I saw the northern lights for the first time.,gpt-4-32k
22,He walked into the room and,"found it empty, except for a single chair in the middle.",gpt-4-32k
23,They waited patiently until,the bus finally arrived.,gpt-4-32k
24,"Without saying a word, she","quietly left the room, leaving everyone in shock.",gpt-4-32k
25,"The car stopped abruptly, and","the driver got out, looking panicked and confused.",gpt-4-32k
26,"Looking at the stars, she",realized how insignificant her problems actually were.,gpt-4-32k
27,"Before he could respond, I",interrupted him with a counter-argument.,gpt-4-32k
28,The child ran toward the playground and,began playing on the swings with boundless joy.,gpt-4-32k
29,He was writing something down when,suddenly his pen ran out of ink.,gpt-4-32k
30,They decided to leave before,the storm got any worse.,gpt-4-32k
31,"I tried calling him, but",he didn't answer his phone.,gpt-4-32k
32,"After a long silence, she","finally spoke up, expressing her true feelings.",gpt-4-32k
33,"As the music played, they","began to dance, losing themselves in the rhythm and melody.",gpt-4-32k
34,He turned around quickly and,saw a shadowy figure disappearing into the darkness.,gpt-4-32k
35,She was holding a cup of coffee when,"suddenly the doorbell rang, startling her.",gpt-4-32k
36,"Without warning, the lights","in the entire building went out, plunging everyone into darkness.",gpt-4-32k
37,I knew something was wrong when,I heard the eerie silence in the house.,gpt-4-32k
38,"He was about to explain, but",she interrupted him with a dismissive wave of her hand.,gpt-4-32k
39,She laughed softly and,"said, ""You really are hilarious.""",gpt-4-32k
40,The airplane started to descend as,it was preparing for a smooth landing.,gpt-4-32k
41,He couldn't stop thinking about,the mystery novel he had just finished reading.,gpt-4-32k
42,"The alarm rang, and she","woke up with a start, realizing she was late for work.",gpt-4-32k
43,"As soon as the train arrived, we",quickly grabbed our luggage and rushed towards the platform.,gpt-4-32k
44,I was halfway through the book when,I realized the protagonist was the actual villain.,gpt-4-32k
45,He glanced at his phone and,realized he had missed several important calls.,gpt-4-32k
46,"Before I could finish, she",interrupted me with a surprising revelation.,gpt-4-32k
47,"He reached for the door handle, but","it was too hot to touch, indicating a fire on the other side.",gpt-4-32k
48,She was preparing dinner when,the power went out suddenly.,gpt-4-32k
49,The wind howled through the trees as,"the storm approached, sending chills down our spines.",gpt-4-32k
50,I had just sat down when,the phone started ringing incessantly.,gpt-4-32k
51,He stared at the computer screen and,realized he had just won the lottery.,gpt-4-32k
52,I was on my way to the store when,I noticed that I had forgotten my wallet at home.,gpt-4-32k
53,She looked out the window and,saw a lonely bird sitting on the tree branch.,gpt-4-32k
54,The crowd cheered loudly as,the home team scored the winning goal.,gpt-4-32k
55,He had been waiting for hours when,"finally, his name was called.",gpt-4-32k
56,"The rain started to fall, and",the streets soon became deserted.,gpt-4-32k
57,She was on the verge of tears when,she found out she had lost her precious necklace.,gpt-4-32k
58,He picked up the phone and,dialed the emergency number as his house was on fire.,gpt-4-32k
59,They were packing their bags when,they received a call cancelling their flight.,gpt-4-32k
60,The sun was setting as,the sky bathed in hues of orange and pink.,gpt-4-32k
61,I couldn't remember where I put,my car keys and started panicking.,gpt-4-32k
62,"He was trying to focus, but",his mind kept wandering back to the troubling conversation he had earlier.,gpt-4-32k
63,I heard a strange noise coming from,the attic late at night.,gpt-4-32k
64,She opened the letter and,found out she had won a million dollar lottery.,gpt-4-32k
65,The lights flickered as,"the storm raged outside, causing an eerie atmosphere.",gpt-4-32k
66,He was just about to leave when,suddenly he remembered he had forgotten his wallet.,gpt-4-32k
67,"The doorbell rang, and she",opened the door to find a bouquet of roses on the porch.,gpt-4-32k
68,She was about to speak when,he interrupted her with a surprise announcement.,gpt-4-32k
69,I was looking for my keys when,I realized I had left them in the car.,gpt-4-32k
70,"The bus pulled up to the stop, and","the passengers hurriedly got on, eager to escape the chill of the morning air.",gpt-4-32k
71,"I was running late, so",I skipped breakfast and rushed out of the house.,gpt-4-32k
72,She took a deep breath and,,gpt-4-32k
73,He was lost in thought when,"suddenly, his phone buzzed, snapping him back to reality.",gpt-4-32k
74,"The package arrived, but",it was damaged and some items were missing.,gpt-4-32k
75,We were standing at the edge of the cliff when,we saw a flock of birds soaring in the sky.,gpt-4-32k
76,She was flipping through the pages of the book when,she suddenly stumbled upon a hidden letter.,gpt-4-32k
77,"The phone rang, and I",answered it only to hear a familiar voice on the other end.,gpt-4-32k
78,He opened the refrigerator and,found that there was no food left.,gpt-4-32k
79,I couldn't sleep last night because,I was worried about the big presentation at work today.,gpt-4-32k
80,The cat jumped onto the table and,knocked over the vase.,gpt-4-32k
81,She whispered softly before,"closing her eyes, ""I love you.""",gpt-4-32k
82,He was about to sit down when,he noticed a spider on the chair.,gpt-4-32k
83,We were getting ready to leave when,"suddenly, the phone rang with an urgent call.",gpt-4-32k
84,She opened the door and saw,that her apartment was completely ransacked.,gpt-4-32k
85,I was walking through the park when,I suddenly noticed a squirrel darting up a tree.,gpt-4-32k
86,"The teacher handed out the papers, and",the students immediately began to write their answers.,gpt-4-32k
87,They were laughing together when,"suddenly the lights went out, adding a touch of mystery to the evening.",gpt-4-32k
88,"The clock struck midnight, and","the entire town was engulfed in a silence, only broken by the occasional hoot of an owl.",gpt-4-32k
89,She was waiting at the bus stop when,"suddenly, a car splashed water on her dress.",gpt-4-32k
90,He turned the corner and saw,"a small, shabby house with a flickering light in the window.",gpt-4-32k
91,I was about to call you when,my phone battery died.,gpt-4-32k
92,She dropped her bag and,screamed as she saw a spider crawl out.,gpt-4-32k
93,The boat rocked gently as,"the waves lapped against its sides, creating a soothing rhythm.",gpt-4-32k
94,He was watching TV when,suddenly the power went out.,gpt-4-32k
95,I was on my way home when,I saw a dog chasing a cat through the park.,gpt-4-32k
96,They had just arrived at the restaurant when,they realized they had left their wallet at home.,gpt-4-32k
97,"The plane took off, and I",felt a surge of excitement as the cityscape shrank below us.,gpt-4-32k
98,He leaned against the wall and,"closed his eyes, lost in deep thought.",gpt-4-32k
99,The sun was shining brightly as,the children played happily in the park.,gpt-4-32k
100,I was about to get up when,the alarm clock rang for the third time.,gpt-4-32k
101,He poured himself a cup of coffee and,sat down to read the morning newspaper.,gpt-4-32k
102,"As soon as I arrived, I",noticed that the house was eerily silent.,gpt-4-32k
103,He was holding a cup of tea when,"suddenly the phone rang, startling him.",gpt-4-32k
104,The road stretched out before them as,"they embarked on their adventurous journey, filled with anticipation and excitement.",gpt-4-32k
105,She reached into her bag and,"pulled out a small, leather-bound notebook.",gpt-4-32k
106,I had just finished eating when,"the doorbell rang, signaling the arrival of unexpected guests.",gpt-4-32k
107,"The sun peeked through the clouds, and",the morning dew started to glisten on the grass.,gpt-4-32k
108,They were sitting quietly when,"suddenly the power went out, plunging the room into darkness.",gpt-4-32k
109,"Before he could react, she","had already stormed out of the room, slamming the door behind her.",gpt-4-32k
110,The waves crashed against the shore as,the moonlight danced on the water.,gpt-4-32k
111,He picked up the book and,began to immerse himself in the enchanting world within its pages.,gpt-4-32k
112,We were walking toward the car when,"suddenly, a stray dog started to follow us.",gpt-4-32k
113,I couldn’t believe what I saw when,I opened the letter; it was an acceptance from my dream university.,gpt-4-32k
114,She was adjusting her glasses when,she noticed a strange figure in the distance.,gpt-4-32k
115,He glanced at the clock and,realized he was running late for his meeting.,gpt-4-32k
116,They had just finished dinner when,"the doorbell rang, announcing an unexpected guest.",gpt-4-32k
117,I was opening the window when,I heard a loud crash coming from the kitchen.,gpt-4-32k
118,She looked at her reflection in the mirror and,realized how much she had grown over the years.,gpt-4-32k
119,He started the engine and,"drove off into the sunset, leaving his past behind.",gpt-4-32k
120,I was listening to the radio when,suddenly the news of the earthquake hit the airwaves.,gpt-4-32k
121,They were making plans to leave when,the storm suddenly hit.,gpt-4-32k
122,The fire crackled in the hearth as,the family gathered around for storytelling.,gpt-4-32k
123,She was organizing her desk when,she found an old letter from her grandmother.,gpt-4-32k
124,He looked out the window and noticed,that the old oak tree had finally lost its last leaf.,gpt-4-32k
125,I was pouring a glass of water when,"the phone rang abruptly, startling me.",gpt-4-32k
126,She was about to sign the contract when,she realized there was a clause she didn't agree with.,gpt-4-32k
127,The wind picked up as,"the storm clouds rolled in, signalling a heavy downpour.",gpt-4-32k
128,He was waiting at the station when,he received a call that the train was delayed.,gpt-4-32k
130,"She had been studying all night, and",now she was too exhausted to even get out of bed.,gpt-4-32k
131,"They decided to go for a walk, but",the weather changed abruptly and it started to rain heavily.,gpt-4-32k
132,He turned on the TV and,saw the breaking news about the earthquake.,gpt-4-32k
133,I was halfway through my workout when,I suddenly pulled a muscle in my leg.,gpt-4-32k
134,She was tying her shoes when,she tripped and fell down the stairs.,gpt-4-32k
135,He checked his email and saw,that he had been offered his dream job.,gpt-4-32k
136,We were getting ready to board the plane when,suddenly the announcement came that the flight was delayed due to bad weather.,gpt-4-32k
137,The room was silent as,the jury returned with the verdict.,gpt-4-32k
138,She took out her phone and,"started scrolling through her old messages, reminiscing about the past.",gpt-4-32k
