index,Xi,Xj,model
0,Today morning I was,woken up by a loud noise outside.,qwen2.5:latest
1,He left the party and,headed home to reflect on the evening.,qwen2.5:latest
2,"After the meeting ended, I",headed to my office to review the notes.,qwen2.5:latest
3,She looked at the clock and,realized she had been standing there for an hour,qwen2.5:latest
4,"Without a second thought, he",jumped into action,qwen2.5:latest
5,"Walking down the street, they",saw an old friend they hadn't seen in years,qwen2.5:latest
6,I was about to say something when,she interrupted me unexpectedly,qwen2.5:latest
7,"Before the movie started, we",had to wait in line for snacks,qwen2.5:latest
8,"As soon as the bell rang, they",rushed to the playground for recess.,qwen2.5:latest
9,"The moment she opened the door, she",was greeted by a warm embrace,qwen2.5:latest
10,"With a heavy heart, he",decided to leave her side,qwen2.5:latest
11,They didn't know what to do after,the situation became critical.,qwen2.5:latest
12,"I was trying to focus, but",the noise from outside kept distracting me.,qwen2.5:latest
13,He glanced at the report and,decided to delay making any decisions.,qwen2.5:latest
14,She smiled softly before she,closed her eyes and remembered,qwen2.5:latest
15,They were about to leave when,the door suddenly opened.,qwen2.5:latest
16,I had no idea what to say when,he walked into the room looking so angry,qwen2.5:latest
17,"Just before the storm hit, we",rushed to secure all the outdoor furniture.,qwen2.5:latest
18,"After she finished speaking, I",waited for her to finish catching her breath.,qwen2.5:latest
19,He took a deep breath and,said what he had been fearing to say.,qwen2.5:latest
20,The dog barked loudly as,the stranger approached the house.,qwen2.5:latest
21,I couldn't believe my eyes when,I saw what appeared to be a dragon flying overhead.,qwen2.5:latest
22,He walked into the room and,saw his reflection in the mirror,qwen2.5:latest
23,They waited patiently until,the clock struck midnight,qwen2.5:latest
24,"Without saying a word, she",left the room in silence.,qwen2.5:latest
25,"The car stopped abruptly, and",the passengers were thrown forward.,qwen2.5:latest
26,"Looking at the stars, she",wished for a clear path ahead.,qwen2.5:latest
27,"Before he could respond, I",jumped in with my own question.,qwen2.5:latest
28,The child ran toward the playground and,saw his friends already there,qwen2.5:latest
29,He was writing something down when,the sudden noise interrupted him.,qwen2.5:latest
30,They decided to leave before,the party ended abruptly due to a fight.,qwen2.5:latest
31,"I tried calling him, but",my phone kept going to voicemail.,qwen2.5:latest
32,"After a long silence, she",replied with a soft whisper,qwen2.5:latest
33,"As the music played, they",danced under the moonlight,qwen2.5:latest
34,He turned around quickly and,saw a shadow lurking behind him,qwen2.5:latest
35,She was holding a cup of coffee when,she took her first step into the morning light.,qwen2.5:latest
36,"Without warning, the lights",went out suddenly,qwen2.5:latest
37,I knew something was wrong when,he didn't answer my calls for hours,qwen2.5:latest
38,"He was about to explain, but",he noticed a familiar face approaching.,qwen2.5:latest
39,She laughed softly and,began to recall happy memories,qwen2.5:latest
40,The airplane started to descend as,it approached the airport.,qwen2.5:latest
41,He couldn't stop thinking about,her even after she broke up with him.,qwen2.5:latest
42,"The alarm rang, and she",hurried out of bed to start her day,qwen2.5:latest
43,"As soon as the train arrived, we",jumped onto it,qwen2.5:latest
44,I was halfway through the book when,I realized I had to finish it tonight.,qwen2.5:latest
45,He glanced at his phone and,saw a text from his boss,qwen2.5:latest
46,"Before I could finish, she",interrupted me to share her ideas,qwen2.5:latest
47,"He reached for the door handle, but",he hesitated for a moment.,qwen2.5:latest
48,She was preparing dinner when,the power suddenly went out.,qwen2.5:latest
49,The wind howled through the trees as,the night grew colder and darker.,qwen2.5:latest
50,I had just sat down when,the doorbell rang again.,qwen2.5:latest
51,He stared at the computer screen and,his mind raced through possible solutions.,qwen2.5:latest
52,I was on my way to the store when,I was on my way to the store when I realized I had forgotten my wallet.,qwen2.5:latest
53,She looked out the window and,sighed at the rainy day outside,qwen2.5:latest
54,The crowd cheered loudly as,the victory was declared,qwen2.5:latest
55,He had been waiting for hours when,the door finally opened.,qwen2.5:latest
56,"The rain started to fall, and",the ground began to soak quickly,qwen2.5:latest
57,She was on the verge of tears when,he reminded her of all the times she had failed.,qwen2.5:latest
58,He picked up the phone and,dialed his best friend to catch up.,qwen2.5:latest
59,They were packing their bags when,the flight was about to depart,qwen2.5:latest
60,The sun was setting as,the sky lit up with a vibrant array of colors,qwen2.5:latest
61,I couldn't remember where I put,I couldn't remember where I put my keys.,qwen2.5:latest
62,"He was trying to focus, but",the noise from outside kept distracting him.,qwen2.5:latest
63,I heard a strange noise coming from,the basement,qwen2.5:latest
64,She opened the letter and,found her heart racing as she read,qwen2.5:latest
65,The lights flickered as,the storm approached closely,qwen2.5:latest
66,He was just about to leave when,the door suddenly opened.,qwen2.5:latest
67,"The doorbell rang, and she",answered the door curious about who it could be.,qwen2.5:latest
68,She was about to speak when,he interrupted her.,qwen2.5:latest
69,I was looking for my keys when,the doorbell rang unexpectedly.,qwen2.5:latest
70,"The bus pulled up to the stop, and",the passengers began to board.,qwen2.5:latest
71,"I was running late, so",I rushed to the office.,qwen2.5:latest
72,She took a deep breath and,stepped into the unknown,qwen2.5:latest
73,He was lost in thought when,he suddenly heard a familiar voice.,qwen2.5:latest
74,"The package arrived, but",it contained unexpected items.,qwen2.5:latest
75,We were standing at the edge of the cliff when,the wind started to howl loudly,qwen2.5:latest
76,She was flipping through the pages of the book when,she stumbled upon a hidden message.,qwen2.5:latest
77,"The phone rang, and I",answered the call,qwen2.5:latest
78,He opened the refrigerator and,found an empty shelf inside,qwen2.5:latest
79,I couldn't sleep last night because,I couldn't sleep last night because my mind kept racing.,qwen2.5:latest
80,The cat jumped onto the table and,landed on its feet.,qwen2.5:latest
81,She whispered softly before,she fell asleep.,qwen2.5:latest
82,He was about to sit down when,the chair collapsed beneath him,qwen2.5:latest
83,We were getting ready to leave when,the host suddenly remembered something important.,qwen2.5:latest
84,She opened the door and saw,a frightening sight outside,qwen2.5:latest
85,I was walking through the park when,I stumbled upon an old friend.,qwen2.5:latest
86,"The teacher handed out the papers, and",students sighed in relief.,qwen2.5:latest
87,They were laughing together when,they heard a loud unexpected noise.,qwen2.5:latest
88,"The clock struck midnight, and",all the secrets began to unravel.,qwen2.5:latest
89,She was waiting at the bus stop when,the bus finally arrived,qwen2.5:latest
90,He turned the corner and saw,the old familiar house,qwen2.5:latest
91,I was about to call you when,the phone rang unexpectedly,qwen2.5:latest
92,She dropped her bag and,she realized she had forgotten her keys.,qwen2.5:latest
93,The boat rocked gently as,it sailed across the calm lake.,qwen2.5:latest
94,He was watching TV when,the power went out unexpectedly.,qwen2.5:latest
95,I was on my way home when,I was on my way home when I saw a rainbow.,qwen2.5:latest
96,They had just arrived at the restaurant when,the hostess led them to their table.,qwen2.5:latest
97,"The plane took off, and I",felt a sense of relief,qwen2.5:latest
98,He leaned against the wall and,"sighed deeply, trying to gather his thoughts.",qwen2.5:latest
99,The sun was shining brightly as,the birds sang their morning songs,qwen2.5:latest
100,I was about to get up when,the alarm went off,qwen2.5:latest
101,He poured himself a cup of coffee and,sat down to read the morning news.,qwen2.5:latest
102,"As soon as I arrived, I",saw my old friend waiting for me by the entrance,qwen2.5:latest
103,He was holding a cup of tea when,he took a sip and noticed someone watching him.,qwen2.5:latest
104,The road stretched out before them as,far as the eye could see.,qwen2.5:latest
105,She reached into her bag and,found what she was looking for,qwen2.5:latest
106,I had just finished eating when,the meal rushed to my stomach,qwen2.5:latest
107,"The sun peeked through the clouds, and",warm rays洒满了整个房间。,qwen2.5:latest
108,They were sitting quietly when,the door suddenly opened loudly.,qwen2.5:latest
109,"Before he could react, she",stabbed him with a knife.,qwen2.5:latest
110,The waves crashed against the shore as,the tide came in forcefully,qwen2.5:latest
111,He picked up the book and,started reading it immediately.,qwen2.5:latest
