index,Xi,Xj,model
0,Shady man waiting, ...in a dark alley for his next move.,mistral:latest
1,People moving by a, were ignoring social distancing guidelines,mistral:latest
2,A contact juggler performing, at a bustling festival,mistral:latest
3,a man is carrying a load, of firewood on his back,mistral:latest
4,Two people ride their yellow bikes, down a winding country road,mistral:latest
5,"A city street shows cars moving along the road, a man in black clothing walking,", ...and a group of children playing nearby.,mistral:latest
6,Blond lady with apron inquires about, the ingredients for a specific recipe,mistral:latest
7,A black-blue insect flying, around the room,mistral:latest
8,An old woman with a mustard sweater and white skirt, sat on a park bench feeding pigeons.,mistral:latest
9,Three people are looking at a, map trying to find their next destination.,mistral:latest
10,A woman with glassing working to, at a high-powered law firm.,mistral:latest
11,"Two girls, one wearing a red shirt and one wearing a gray and", were arguing over who had the newest smartphone.,mistral:latest
12,"Two men, one carrying"," a gun, approached each other cautiously.",mistral:latest
13,An asian male kneels on the," ground, praying before sunrise.",mistral:latest
14,A man with a collarless shirt smokes a, cigar on the balcony.,mistral:latest
15,A black dog running, through the park at dusk,mistral:latest
16,A man looking through a microscope while, ...was studying bacteria cells under high magnification.,mistral:latest
17,A married woman in, her husband filed for divorce due to irreconcilable differences.,mistral:latest
18,A little girl putting a red, dress on her teddy bear.,mistral:latest
19,"Four young men, wearing hats, in their bare", feet were playing a lively game of basketball.,mistral:latest
20,A group of people, were discussing their shared passion for gardening.,mistral:latest
21,A blond man with a backpack, entered the train car.,mistral:latest
22,Several people on a, boat were stranded due to engine failure.,mistral:latest
23,A man is talking into a mic while a woman looks at," ...on stage, unsure about what to say next.",mistral:latest
24,A man sits on a bed reading, ...a book upside down by mistake,mistral:latest
25,"A child is playing near a swing set,", ...and his mother watches anxiously from a distance.,mistral:latest
26,"A few small children are smiling, and one is", because they were given candy,mistral:latest
27,Two little girls in front of, were arguing over a shiny red balloon.,mistral:latest
28,A father is giving his child, a piggyback ride home,mistral:latest
29,A group of people, were discussing a controversial topic.,mistral:latest
30,A woman laying down in front of the doors to, refused to let anyone pass,mistral:latest
31,Children are dressed, as superheroes for Halloween.,mistral:latest
32,"A man wearing a blue shirt, blue cap, and jeans is", standing by the lake.,mistral:latest
33,Black dog running with, a wagging tail towards the park,mistral:latest
34,A man is teaching a class of young children to balance a ball that is, on their noses using their breath control.,mistral:latest
35,A man is kneeling down on the," ground, praying for his lost fortune to be returned.",mistral:latest
36,A boy looks up, at his idol on stage,mistral:latest
37,A person guarding, a valuable artifact at a museum.,mistral:latest
38,There is one individual in this image with a hard hat om and, ...wearing a high-visibility vest,mistral:latest
39,The back of a young boy who is wearing, a school uniform was covered in paint,mistral:latest
40,"Several people in white shirts and ties are looking out of a window,", discussing the city's parade route.,mistral:latest
41,People walking around a dirt covered lot with a white, ...were searching for hidden treasures.,mistral:latest
42,"A person in red is lying on a bench in a park,", ...because they were tired after running.,mistral:latest
