index,Xi,Xj,model
0,Today morning I was,running late for work.,llama3.2
1,He left the party and,went home alone.,llama3.2
2,"After the meeting ended, I",went to grab a drink from the fridge.,llama3.2
3,She looked at the clock and,was worried she would be late for her flight.,llama3.2
4,"Without a second thought, he",went straight to his car.,llama3.2
5,"Walking down the street, they",were laughing together.,llama3.2
6,I was about to say something when,I had just realized my mistake.,llama3.2
7,"Before the movie started, we",were all excited to see our favorite superhero.,llama3.2
8,"As soon as the bell rang, they",were running out of time.,llama3.2
9,"The moment she opened the door, she",was greeted by a swarm of bees.,llama3.2
10,"With a heavy heart, he",knew that their friendship would never be the same again.,llama3.2
11,They didn't know what to do after,the police arrived at their doorstep.,llama3.2
12,"I was trying to focus, but",my phone kept buzzing nonstop.,llama3.2
13,He glanced at the report and,thought something was seriously wrong.,llama3.2
14,She smiled softly before she,said goodnight to her family.,llama3.2
15,They were about to leave when,the argument between them suddenly escalated.,llama3.2
16,I had no idea what to say when,"I'm ready to help. Here's my completion:

when she walked into the room with a mysterious smile",llama3.2
17,"Just before the storm hit, we",were huddled together in our small cabin.,llama3.2
18,"After she finished speaking, I",was left standing alone in stunned silence.,llama3.2
19,He took a deep breath and,and stepped into the unknown darkness.,llama3.2
20,The dog barked loudly as,at night fell over the small town.,llama3.2
21,I couldn't believe my eyes when,when I saw my ex walking out of the restaurant.,llama3.2
22,He walked into the room and,saw his ex-girlfriend standing alone.,llama3.2
23,They waited patiently until,until they heard their names called.,llama3.2
24,"Without saying a word, she",kept her eyes fixed on him.,llama3.2
25,"The car stopped abruptly, and",was about to roll down a steep hill.,llama3.2
26,"Looking at the stars, she",felt a deep sense of connection to her past.,llama3.2
27,"Before he could respond, I",was about to leave.,llama3.2
28,The child ran toward the playground and,and saw her best friend waiting for her.,llama3.2
29,He was writing something down when,when suddenly his phone rang.,llama3.2
30,They decided to leave before,the police arrived.,llama3.2
31,"I tried calling him, but",he didn't answer my phone.,llama3.2
32,"After a long silence, she",was about to break down.,llama3.2
33,"As the music played, they",were dancing under the stars.,llama3.2
34,He turned around quickly and,ran as fast as possible.,llama3.2
35,She was holding a cup of coffee when,was suddenly interrupted by her phone.,llama3.2
36,"Without warning, the lights",went out suddenly.,llama3.2
37,I knew something was wrong when,when my best friend started acting strangely.,llama3.2
38,"He was about to explain, but",...the phone rang.,llama3.2
39,She laughed softly and,smiled at her old friend.,llama3.2
40,The airplane started to descend as,into its emergency landing procedures.,llama3.2
41,He couldn't stop thinking about,his past mistakes.,llama3.2
42,"The alarm rang, and she",was frantically searching for her keys.,llama3.2
43,"As soon as the train arrived, we",at the station to catch our connecting flight.,llama3.2
44,I was halfway through the book when,when my sister interrupted me.,llama3.2
45,He glanced at his phone and,saw that he had missed a crucial call from his best friend.,llama3.2
46,"Before I could finish, she",had already left the room.,llama3.2
47,"He reached for the door handle, but",it had been locked for years.,llama3.2
48,She was preparing dinner when,when her husband walked in late from work.,llama3.2
49,The wind howled through the trees as,the branches creaked ominously.,llama3.2
50,I had just sat down when,when my phone started ringing nonstop.,llama3.2
