,Xi,Xj,model
0,Today morning I was,woken up by the sound of birds chirping outside my window,llama-3.1-70b-instruct
1,He left the party and,"went home early, feeling unwell and disappointed",llama-3.1-70b-instruct
2,"After the meeting ended, I",realized that I had forgotten to discuss the most important topic.,llama-3.1-70b-instruct
3,She looked at the clock and,realized she was already running late for her job interview,llama-3.1-70b-instruct
4,"Without a second thought, he",jumped off the cliff and into the unknown.,llama-3.1-70b-instruct
5,"Walking down the street, they",stumbled upon a quaint little café that caught their attention,llama-3.1-70b-instruct
6,I was about to say something when,my phone rang and I had to answer it,llama-3.1-70b-instruct
7,"Before the movie started, we",managed to grab some popcorn and find our seats.,llama-3.1-70b-instruct
8,"As soon as the bell rang, they","rushed out of the classroom, eager to start their summer break.",llama-3.1-70b-instruct
9,"The moment she opened the door, she",was shocked to see her long-lost brother standing in front of her.,llama-3.1-70b-instruct
10,"With a heavy heart, he",walked away from the only home he had ever known.,llama-3.1-70b-instruct
11,They didn't know what to do after,the unexpected news of their company's bankruptcy was announced,llama-3.1-70b-instruct
12,"I was trying to focus, but",my mind kept wandering back to the argument I had with my sister earlier,llama-3.1-70b-instruct
13,He glanced at the report and,immediately noticed a significant error in the financial projections.,llama-3.1-70b-instruct
14,She smiled softly before she,whispered a gentle goodbye and turned away,llama-3.1-70b-instruct
15,They were about to leave when,the fire alarm suddenly went off,llama-3.1-70b-instruct
16,I had no idea what to say when,she suddenly broke down in tears in front of me.,llama-3.1-70b-instruct
17,"Just before the storm hit, we",managed to find shelter in a nearby building,llama-3.1-70b-instruct
18,"After she finished speaking, I",realized that she had been holding back tears the entire time,llama-3.1-70b-instruct
19,He took a deep breath and,began to explain the situation to his anxious parents,llama-3.1-70b-instruct
20,The dog barked loudly as,the stranger approached the front door,llama-3.1-70b-instruct
21,I couldn't believe my eyes when,I saw the famous actor walking towards me with a smile on his face.,llama-3.1-70b-instruct
22,He walked into the room and,was immediately struck by the eerie silence that filled the air,llama-3.1-70b-instruct
23,They waited patiently until,the clock struck midnight and the fireworks began,llama-3.1-70b-instruct
24,"Without saying a word, she","walked out of the room, leaving him in a state of confusion.",llama-3.1-70b-instruct
25,"The car stopped abruptly, and",the driver got out to see what was wrong,llama-3.1-70b-instruct
26,"Looking at the stars, she",felt a deep sense of wonder and connection to the universe,llama-3.1-70b-instruct
27,"Before he could respond, I",had already hung up the phone and walked away,llama-3.1-70b-instruct
28,The child ran toward the playground and,began to play tag with her friends.,llama-3.1-70b-instruct
29,He was writing something down when,he suddenly heard a loud noise behind him,llama-3.1-70b-instruct
30,They decided to leave before,the storm got worse and the roads became impassable,llama-3.1-70b-instruct
