index,Xi,Xj,model
0,Shady man waiting,at the corner for his target to appear,qwen2.5:latest
1,People moving by a,People moving by a bustling street market,qwen2.5:latest
2,A contact juggler performing,balanced a dozen contacts on his fingers.,qwen2.5:latest
3,a man is carrying a load,on his back,qwen2.5:latest
4,Two people ride their yellow bikes,through the park on a sunny day,qwen2.5:latest
5,"A city street shows cars moving along the road, a man in black clothing walking,",and a group of people standing near a storefront.,qwen2.5:latest
6,Blond lady with apron inquires about,the recipe for today's special,qwen2.5:latest
7,A black-blue insect flying,insects are often hard to identify from a distance,qwen2.5:latest
8,An old woman with a mustard sweater and white skirt,was walking briskly through the market square.,qwen2.5:latest
9,Three people are looking at a,mysterious object in the room,qwen2.5:latest
10,A woman with glassing working to,A woman with glasses working to improve her vision by reading the instructions carefully,qwen2.5:latest
11,"Two girls, one wearing a red shirt and one wearing a gray and",blue skirt stood together.,qwen2.5:latest
12,"Two men, one carrying",a heavy box while the other walked alongside.,qwen2.5:latest
13,An asian male kneels on the,ground in front of a shrine,qwen2.5:latest
14,A man with a collarless shirt smokes a,cigarette outside the café.,qwen2.5:latest
15,A black dog running,through the grass chased a butterfly.,qwen2.5:latest
16,A man looking through a microscope while,examining a sample,qwen2.5:latest
17,A married woman in,cheated on her husband with a coworker,qwen2.5:latest
18,A little girl putting a red,hat on her head,qwen2.5:latest
19,"Four young men, wearing hats, in their bare","Four young men, wearing hats, in their bare feet stood outside the old mansion.",qwen2.5:latest
20,A group of people,gathered around the campfire to tell stories.,qwen2.5:latest
21,A blond man with a backpack,was walking through the park.,qwen2.5:latest
22,Several people on a,beach enjoyed sunbathing and swimming,qwen2.5:latest
23,A man is talking into a mic while a woman looks at,him skeptically,qwen2.5:latest
24,A man sits on a bed reading,a book in the dimly lit room.,qwen2.5:latest
25,"A child is playing near a swing set,",and the wind blows gently through the trees.,qwen2.5:latest
26,"A few small children are smiling, and one is",holding a colorful balloon,qwen2.5:latest
27,Two little girls in front of,the bakery display橱窗中的蛋糕和糖果。,qwen2.5:latest
28,A father is giving his child,a heartfelt talk about life's challenges,qwen2.5:latest
29,A group of people,gathered around the campfire to share stories.,qwen2.5:latest
30,A woman laying down in front of the doors to,block entry into the building,qwen2.5:latest
31,Children are dressed,up in their finest clothes for the occasion.,qwen2.5:latest
32,"A man wearing a blue shirt, blue cap, and jeans is",standing by the seaside watching sunset waves.,qwen2.5:latest
33,Black dog running with,joy and freedom in the park,qwen2.5:latest
34,A man is teaching a class of young children to balance a ball that is,on his nose,qwen2.5:latest
35,A man is kneeling down on the,ground in front of a woman.,qwen2.5:latest
