Initial Text,Completed Text
A lone cowboy riding his horse holding,a lasso and some rope.
The brown dog is,chasing and popping bubbles.
The girl in a purple sweater performs on her,guitar and passersby stop to listen.
"A woman wearing red, white and",blue riding on a bicycle.
A man in a black hat is loading,up his gear on the mule.
a motocross rider wearing a red suit jumping off,a ramp on a clear sunny day
A girl whose head is sticking out,of the water at her mouth.
Two children are playing,on a bicycle.
Four children racing,on tricycles.
An old man wearing gray sleeps,in a small chair.
A woman drawing portrait while a,man on a cellphone watches.
"The man with the light green shirt, orange backpack and white baseball",cap looks down from the mountain into the lake.
Several individuals are walking along a street,in tennis shoes and shorts.
"A line of blue, green, and white booths line the side of a street",outside a store with one man sitting in a booth.
An elderly outdoor market vegetable vendor sits with,his wares and reads a newspaper.
The big dog is carrying an,object is its mouth.
A local swimmer is wearing a swim cap and,swim goggles while swimming in a lake.
A family is enjoying a day in the sun while,sitting on green grass next to a pond.
A red race car travels down a road marked,with red and white striped ribbons.
People are running in a race,while bystanders are watching.
Kids pass the time,while others watch.
"A woman splashes in water, with",others in the background.
A man wearing headphones,is controlling a machine.
A white woman wearing white pants and a black top,is waiting for the bus to come.
A black dog runs on green,grass with its mouth open.
A man in a brown long-sleeve,shirt is pushing his bicycle
A woman posing outside,in the snow.
There is a crosswalk full of pedestrians,crossing in a downtown area.
A man sprinkles seasonings on his,barbecue in front of foliage.
A young man in a white shirt holds,both his hands above his head.
A girl with purple tights,putting on toenail polish.
A smiling woman is,laying in shallow water.
A group of people hold their arms up,in front of a blue curtain.
"A man is painting the siding,","of previously beige building, white."
A row of cars parked outside,a dark city street.
People walking around a dirt covered lot with a white,and green truck parked at opposite sides.
Girl in blue,coverall painting
A small girl in a bathing suit,jumps above a kiddie pool.
A boat full of Asian people is,sailed through reeds and bushes.
A young male is sitting on a,bench next to a wooden door.
A soccer game is played as two men attempt to,reach the ball before their respected opponent.
A little boy in a black vest is holding two tusks up to,"his cheeks, pretending to be some sort of animal."
A women's basketball game being played,on an indoor court.
"Four children jumping in a swimming pool,",with only two wearing water wings.
A child with extra large goggles,getting out of a pool.
The boy is standing on the playground,equipment in the blue triangle.
A red-haired girl holds,a cute baby goat.
A man in green is holding a hose,that is connected to an airplane.
