,index,Xi,Xj,model
0,0,Shady man waiting,in the corner was actually an undercover detective.,gpt-4-32k
1,1,People moving by a,busy street were startled by the sudden car crash.,gpt-4-32k
2,2,A contact juggler performing,at the park drew a large crowd of fascinated spectators.,gpt-4-32k
3,3,a man is carrying a load,"on his back, struggling to maintain his balance.",gpt-4-32k
4,4,Two people ride their yellow bikes,"through the park, enjoying the warm summer breeze.",gpt-4-32k
5,5,"A city street shows cars moving along the road, a man in black clothing walking,",and a woman with a red umbrella crossing the street.,gpt-4-32k
6,6,Blond lady with apron inquires about,the recipe for the famous apple pie.,gpt-4-32k
7,7,A black-blue insect flying,around the garden caught my attention.,gpt-4-32k
8,8,An old woman with a mustard sweater and white skirt,"was sitting alone on a park bench, feeding the pigeons.",gpt-4-32k
9,9,Three people are looking at a,"painting, trying to decipher its hidden meaning.",gpt-4-32k
10,10,A woman with glassing working to,finish her novel before the deadline.,gpt-4-32k
11,11,"Two girls, one wearing a red shirt and one wearing a gray and","black striped sweater, were arguing over the last piece of pizza.",gpt-4-32k
12,12,"Two men, one carrying","a guitar and the other a suitcase, walked into the dimly lit bar.",gpt-4-32k
13,13,An asian male kneels on the,"ground, praying for his family's safety during the storm.",gpt-4-32k
14,14,A man with a collarless shirt smokes a,cigar while contemplating his next move in the chess game.,gpt-4-32k
15,15,A black dog running,across the street almost got hit by a speeding car.,gpt-4-32k
16,16,A man looking through a microscope while,observing the intricate details of a bacteria cell.,gpt-4-32k
17,17,A married woman in,a traditional society often faces societal pressures and expectations.,gpt-4-32k
18,18,A little girl putting a red,ribbon in her hair for the school play.,gpt-4-32k
19,19,"Four young men, wearing hats, in their bare","feet, were playing a lively game of beach volleyball.",gpt-4-32k
20,20,A group of people,were protesting against the government's new policies.,gpt-4-32k
21,21,A blond man with a backpack,was seen suspiciously lurking around the neighborhood.,gpt-4-32k
22,22,Several people on a,boat were stranded when the engine failed.,gpt-4-32k
23,23,A man is talking into a mic while a woman looks at,"him, intrigued by his eloquent speech.",gpt-4-32k
24,24,A man sits on a bed reading,"a novel, completely engrossed in the world of fiction.",gpt-4-32k
25,25,"A child is playing near a swing set,",but suddenly he trips and falls.,gpt-4-32k
26,26,"A few small children are smiling, and one is",crying because he dropped his ice cream.,gpt-4-32k
27,27,Two little girls in front of,the ice cream shop were giggling and pointing at the colorful display.,gpt-4-32k
28,28,A father is giving his child,a life lesson about honesty and integrity.,gpt-4-32k
29,29,A group of people,were protesting against the government's new policy.,gpt-4-32k
30,30,A woman laying down in front of the doors to,"the hospital, desperately seeking medical attention.",gpt-4-32k
31,31,Children are dressed,up for the school play.,gpt-4-32k
32,32,"A man wearing a blue shirt, blue cap, and jeans is",walking down the street with a confident stride.,gpt-4-32k
33,33,Black dog running with,a frisbee in its mouth across the park.,gpt-4-32k
34,34,A man is teaching a class of young children to balance a ball that is,"resting on their noses, to improve their concentration skills.",gpt-4-32k
35,35,A man is kneeling down on the,"street, proposing to his long-time girlfriend.",gpt-4-32k
36,36,A boy looks up,"at the sky, dreaming of becoming an astronaut.",gpt-4-32k
37,37,A person guarding,the museum noticed suspicious activity on the CCTV.,gpt-4-32k
38,38,There is one individual in this image with a hard hat om and,he is inspecting the construction site.,gpt-4-32k
39,39,The back of a young boy who is wearing,a red backpack is covered in mud after a playful day in the park.,gpt-4-32k
40,40,"Several people in white shirts and ties are looking out of a window,",observing the chaos unfolding on the streets below.,gpt-4-32k
